IdLatLon
18,[ 43.817],[ 7.777]
65,[ 32.841],[-96.738]
90,[ 50.909],[ 10.6995]
92,[ 37.5815],[-122.3565]
107,[ 38.256],[-85.708]
109,[ 33.663],[-112.115]
174,[ 40.456],[-80.012]
302,[ 39.222],[-84.586]
371,[ 40.77925],[-61.48]
388,[ 33.748],[-84.387]
406,[ 51.2],[-1.483]
408,[ 34.077],[-118.26]
442,[ 19.434],[-99.138]
493,[ 35.371],[-119.031]
533,[ 36.592],[-100.981]
622,[ 35.829],[-113.867]
626,[ 51.042],[-114.055]
691,[ 40.10933333],[-3.309]
698,[ 51.05],[ 0.15]
788,[-10.166],[ 123.583]
950,[ 37.3485],[-96.633]
979,[ 32.715],[-117.157]
1027,[ 40.44],[-79.995]
1110,[ 31.222],[ 121.475]
1150,[ 34.45125],[-10.09375]
1225,[ 43.599],[-70.3025]
1227,[ 47.447],[ 9.137]
1263,[ 40.86066667],[-118.15766667]
1323,[ 39.9695],[-93.541]
1402,[ 38.0865],[-22.981]
1407,[ 38.64625],[-99.61175]
1444,[ 38.891],[-113.8455]
1504,[ 51.2095],[-1.302]
1740,[ 47.623],[-122.314]
1868,[ 43.537],[-70.35]
1903,[ 40.44],[-79.995]
1931,[ 39.762],[-104.982]
1967,[ 45.523],[-122.676]
2006,[ 21.139875],[-157.54]
2040,[ 69.679],[ 18.97]
2056,[ 39.6845],[-78.533]
2096,[ 39.044],[-105.09433333]
2227,[ 36.849],[-76.29]
2352,[-33.84],[ 151.207]
2427,[ 40.668],[-73.961]
2569,[ 40.85],[-73.866]
2698,[ 35.933],[-84.094]
2707,[-36.3],[ 141.8465]
2715,[ 40.599],[-74.675]
2761,[ 39.937],[-77.661]
2799,[ 26.31],[-80.237]
3018,[ 37.645],[-121.849]
3036,[ 51.5115],[-0.1225]
3045,[ 51.111],[-0.855]
3048,[ 30.1555],[-96.5345]
3244,[ 40.008],[-105.258]
3326,[ 38.03066667],[-75.87933333]
3388,[ 51.516],[-0.116]
3390,[ 38.232],[-122.636]
3409,[ 39.739],[-104.984]
3438,[ 34.128],[-118.256]
3461,[ 43.321],[-70.998]
3498,[-33.883],[ 151.216]
3508,[ 32.715],[-117.163]
3577,0.0,0.0
3673,[ 33.789],[-117.938]
3810,[ 40.826],[-73.922]
3885,[ 30.386],[-97.753]
3971,[ 35.6866],[ 139.7144]
4050,[ 35.695],[ 139.674]
4065,[ 51.221],[ 6.772]
